"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"	"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"
"ENSG00000007968.7_E2F2"	0	0.390952160795437	0	1.28672973192594	0.413204670550107	0
"ENSG00000008018.9_PSMB1"	0	0	0	0	0	0
"ENSG00000008056.14_SYN1"	0	0	0	0	0	0
"ENSG00000008083.14_JARID2"	0	-0.20637974595943	0	0	-0.193782884334374	0
"ENSG00000008086.13_CDKL5"	0	-0.296322857530214	0	0	0	0
"ENSG00000008118.10_CAMK1G"	0	0	0	0	0.479547906343883	0
"ENSG00000008128.23_CDK11A"	0	0	0	0	0	0
"ENSG00000008130.15_NADK"	0	0	0	0	0.220774608575792	0
"ENSG00000008196.13_TFAP2B"	NA	0	NA	NA	NA	NA
"ENSG00000008197.5_TFAP2D"	NA	NA	NA	NA	NA	NA
"ENSG00000008226.20_DLEC1"	0	0	0	0	0	0
"ENSG00000008256.16_CYTH3"	0	-0.298039503939667	0	0	0	0
"ENSG00000008277.14_ADAM22"	0	0	0	0	0.323561673556604	0
"ENSG00000008282.9_SYPL1"	0	0	0	0	0	0
"ENSG00000008283.16_CYB561"	0	0	0	0	0	0
"ENSG00000008294.21_SPAG9"	0	-0.171606198793072	0	0	0	0
"ENSG00000008300.17_CELSR3"	0	0	0	0	-0.564949467887007	0
"ENSG00000008311.15_AASS"	0	0	0	0	0	0
"ENSG00000008323.15_PLEKHG6"	0	-0.313459554696983	0	0	0	0
"ENSG00000008324.12_SS18L2"	0	0	0	0	-0.229604080022062	0
"ENSG00000008382.16_MPND"	0	0	0	0	0	0
"ENSG00000008394.13_MGST1"	0	0	0	0	0	0
"ENSG00000008405.12_CRY1"	0	0	0	0	0.32920502568909	0
"ENSG00000008438.5_PGLYRP1"	0	0	NA	0	0	0
"ENSG00000008441.18_NFIX"	0	-0.260723291285071	0.932210842510609	0	-0.233191626836159	0
"ENSG00000008513.16_ST3GAL1"	0	0	0	0	0	0
"ENSG00000008516.17_MMP25"	0	0	0	-2.50332618288164	0.542403560374348	-3.04572974325599
"ENSG00000008517.18_IL32"	0	0	0	0	0	0
"ENSG00000008710.20_PKD1"	1.61756858144692	0	1.69450371836475	0	0	0
"ENSG00000008735.14_MAPK8IP2"	0	0	0	0	0	0
"ENSG00000008838.20_MED24"	0	0.196649511795515	0	0	0	0
"ENSG00000008853.17_RHOBTB2"	0	0.343376286140786	0	0	0	0
"ENSG00000008869.12_HEATR5B"	0	0	0	0	0	0
"ENSG00000008952.17_SEC62"	0	0	0	0	0	0
"ENSG00000008988.11_RPS20"	0	0	0	0	0	0
"ENSG00000009307.16_CSDE1"	0	0	-0.677478695355054	0	0	0
"ENSG00000009335.18_UBE3C"	0	0	0	0	0	0
"ENSG00000009413.16_REV3L"	0	0	0	0	0.252829572946505	0
"ENSG00000009694.13_TENM1"	0	0	NA	0	0	0
"ENSG00000009709.12_PAX7"	0	0	NA	0	-2.23372197569994	0
"ENSG00000009724.17_MASP2"	0	0	0	0	0.372720164418427	0
"ENSG00000009765.15_IYD"	0	-0.466157797714255	0	0	-0.606438092357292	0
"ENSG00000009780.16_FAM76A"	0	0	0	0	0	0
"ENSG00000009790.15_TRAF3IP3"	0	0.385560121377295	0	0	0	0
"ENSG00000009830.12_POMT2"	0	0.20910145772065	0	0	0.28357992580624	0
"ENSG00000009844.16_VTA1"	0	0	0	0	0	0
"ENSG00000009950.16_MLXIPL"	0	-0.466227352517099	0	0	0	0
"ENSG00000009954.11_BAZ1B"	0	0	0	0.790659856521704	0	0.727932811421714
"ENSG00000010017.13_RANBP9"	0	-0.129776046001926	0	0	0	0
"ENSG00000010030.14_ETV7"	0	0	0	0	0.38950433787464	0
"ENSG00000010072.16_SPRTN"	0	0	0	0	0	0
"ENSG00000010165.20_EEF1AKNMT"	0	0	0	0	0	0
"ENSG00000010219.13_DYRK4"	0	0.529162422313795	0	0	0.362749515913297	0
"ENSG00000010244.19_ZNF207"	0	0	0	0	0	0
"ENSG00000010256.11_UQCRC1"	0	0	0	0	0	0
"ENSG00000010270.14_STARD3NL"	0	-0.255171188254792	0	-0.918509168761732	-0.258903910810814	0
"ENSG00000010278.15_CD9"	0	0	0	0	0	0
"ENSG00000010282.15_HHATL"	NA	0	NA	NA	0	NA
"ENSG00000010292.13_NCAPD2"	0	0	0	1.16042334999115	0	1.01132698976806
"ENSG00000010295.20_IFFO1"	0	0	0	0	0	0
"ENSG00000010310.9_GIPR"	0	0	0	0	0.452351343259875	0
"ENSG00000010318.21_PHF7"	0	0	0	0	0	0
"ENSG00000010319.7_SEMA3G"	0	0	0	1.90160516169351	0	0
"ENSG00000010322.16_NISCH"	0.786883083956391	0	0.798489069768394	0	0	0
"ENSG00000010327.10_STAB1"	0	0	0	0	0	0
"ENSG00000010361.14_FUZ"	0	0	0	0	-0.729375621555183	0
"ENSG00000010379.16_SLC6A13"	0	0.669951919840888	NA	NA	0	NA
"ENSG00000010404.18_IDS"	0	-0.267607939355203	0	0	0	0
"ENSG00000010438.17_PRSS3"	0	-0.345675703725891	0	0	0	0
"ENSG00000010539.12_ZNF200"	0	0	0	0	0	0
"ENSG00000010610.10_CD4"	0	0	0	0	0	0
"ENSG00000010626.15_LRRC23"	0	0	0	-1.12401084347311	-0.317488014444218	0
"ENSG00000010671.16_BTK"	0	0	0	0	0	0
"ENSG00000010704.18_HFE"	0	0	0	0	0.201792801572166	0
"ENSG00000010803.16_SCMH1"	0	-0.149574975349776	0	0	0	0
"ENSG00000010810.17_FYN"	0	0	0	0	0	0
"ENSG00000010818.10_HIVEP2"	0	0	0	0	0	0
"ENSG00000010932.17_FMO1"	0	0	0	0	0.661472638438831	0
"ENSG00000011007.12_ELOA"	0	0.150833750950177	0	0	0.238944715830195	0
"ENSG00000011009.11_LYPLA2"	0	0	0	0	0	0
"ENSG00000011021.23_CLCN6"	0	0	0	0	0	0
"ENSG00000011028.14_MRC2"	0	0	0	0	0	0
"ENSG00000011052.21_NME1-NME2"	NA	NA	NA	NA	NA	NA
"ENSG00000011083.9_SLC6A7"	0	0	0	0	0	0
"ENSG00000011105.14_TSPAN9"	0	0	0	0	0	0
"ENSG00000011114.15_BTBD7"	0	0	0	0	0.24601524443706	0
"ENSG00000011132.12_APBA3"	0	0	0	0	0	0
"ENSG00000011143.19_MKS1"	0	0	0	0	-0.183916680760329	0
"ENSG00000011198.10_ABHD5"	0	0	0	0	0.31883231005152	0
"ENSG00000011201.12_ANOS1"	0	0	0	0	0	0
"ENSG00000011243.18_AKAP8L"	0	-0.164941989534773	0	0	0	0
"ENSG00000011258.16_MBTD1"	0	0	0	0	-0.231265407134571	0
"ENSG00000011260.14_UTP18"	0	0	0	0	0	0
"ENSG00000011275.19_RNF216"	0	-0.159796785043808	0	0	0	0
"ENSG00000011295.16_TTC19"	0	0.214600991185159	0	0	0.371480675310771	0
"ENSG00000011304.22_PTBP1"	0	0	0	0	0	0
"ENSG00000011332.19_DPF1"	0	0.667171709971425	0	0	0	0
"ENSG00000011347.10_SYT7"	0	-0.582990917170448	0	0	-0.762340028364872	0
