"female_normal_vs_deep"	"female_normal_vs_shallow"	"female_shallow_vs_deep"	"male_normal_vs_deep"	"male_normal_vs_shallow"	"male_shallow_vs_deep"
"ENSG00000009709.12_PAX7"	0	0	0	6.66902396791818	0	7.11461448782921
"ENSG00000009724.17_MASP2"	0	0	0	0	0	0
"ENSG00000009765.15_IYD"	0	0	0	0	0	0
"ENSG00000009780.16_FAM76A"	0	0	0	0	0	0
"ENSG00000009790.15_TRAF3IP3"	0	0	0	0	0	0
"ENSG00000009830.12_POMT2"	0	0	0	0	0	0
"ENSG00000009844.16_VTA1"	0	-0.184360131543593	0	0	0	0
"ENSG00000009950.16_MLXIPL"	0	0.537686171517533	0	0	0	0
"ENSG00000009954.11_BAZ1B"	0	0	0	0	0	0
"ENSG00000010017.13_RANBP9"	0	0	0	0	0	0
"ENSG00000010030.14_ETV7"	0	0	0	0	0	0
"ENSG00000010072.16_SPRTN"	0	0	0	0	0	0
"ENSG00000010165.20_EEF1AKNMT"	0	0	0	0	0	0
"ENSG00000010219.13_DYRK4"	0	0	0	0	0	0
"ENSG00000010244.19_ZNF207"	0	-0.142120951640832	0	0	0	0
"ENSG00000010256.11_UQCRC1"	0	0	0	0	0.244321010382314	0
"ENSG00000010270.14_STARD3NL"	0	-0.197683405455733	0	0	-0.263422993495632	0
"ENSG00000010278.15_CD9"	0	0	0	0	0	0
"ENSG00000010282.15_HHATL"	0	0	0	0	0	0
"ENSG00000010292.13_NCAPD2"	0	0	0	0	0	0
"ENSG00000010295.20_IFFO1"	0	0	0	0	0	0
"ENSG00000010310.9_GIPR"	0	0.366620715089129	0	0	0	0
"ENSG00000010318.21_PHF7"	0	0	0	0	0	0
"ENSG00000010319.7_SEMA3G"	0	0.802169133309172	0	0	0.583726012668308	0
"ENSG00000010322.16_NISCH"	0	0	0	0	0	0
"ENSG00000010327.10_STAB1"	0	0	0	0	-0.381267482537443	0
"ENSG00000010361.14_FUZ"	0	0	0	0	0	0
"ENSG00000010379.16_SLC6A13"	0	0.914897969928321	0	0	0.778134185028628	0
"ENSG00000010404.18_IDS"	0	0	0	0	0	0
"ENSG00000010438.17_PRSS3"	NA	NA	NA	0	1.3989466912036	0
"ENSG00000010539.12_ZNF200"	0	0	0	0	0	0
"ENSG00000010610.10_CD4"	0	0	0	0	0	0
"ENSG00000010626.15_LRRC23"	0	0	0	0	0.646712381929369	-1.30874349463241
"ENSG00000010671.16_BTK"	0	0.300671742278438	0	0	0	0
"ENSG00000010704.18_HFE"	0	0	0	0	0	0
"ENSG00000010803.16_SCMH1"	0	0	0	0	0	0
"ENSG00000010810.17_FYN"	0	0	0	0	0	0
"ENSG00000010818.10_HIVEP2"	0	0	0	0	0	0
"ENSG00000010932.17_FMO1"	0	0	0	0	-0.644277219411608	0
"ENSG00000011007.12_ELOA"	0	0	0	0	0	0
"ENSG00000011009.11_LYPLA2"	0	-0.245118276111307	0	0	0	0
"ENSG00000011021.23_CLCN6"	0	0	0	0	0	0
"ENSG00000011028.14_MRC2"	0	0	0	0	0	0
"ENSG00000011052.21_NME1-NME2"	NA	NA	NA	NA	NA	NA
"ENSG00000011083.9_SLC6A7"	0	0	0	0	0	0
"ENSG00000011105.14_TSPAN9"	0	0	0	0	0	0
"ENSG00000011114.15_BTBD7"	0	0	0	0	0	0
"ENSG00000011132.12_APBA3"	0	0	0	0	0	0
"ENSG00000011143.19_MKS1"	0	0	0	0	0	0
"ENSG00000011198.10_ABHD5"	0	0	0	0	0	0
"ENSG00000011201.12_ANOS1"	0	0	0	0	0	0
"ENSG00000011243.18_AKAP8L"	0	0	0	0	0	0
"ENSG00000011258.16_MBTD1"	0	0	0	0	0	0
"ENSG00000011260.14_UTP18"	0	-0.131082210332374	0	0	-0.181246299569628	0
"ENSG00000011275.19_RNF216"	0	-0.198323355083258	0	0	0	0
"ENSG00000011295.16_TTC19"	0	0	0	0	0.219896838363071	0
"ENSG00000011304.22_PTBP1"	0	-0.155475167190188	0	0	0	0
