"LUAD_NORMAL_DEEP"	"LUAD_NORMAL_SHALLOW"	"LUAD_SHALLOW_DEEP"	"LUAD_MALE_FEMALE"	"LUAD_MALE_NORMAL_DEEP"	"LUAD_MALE_NORMAL_SHALLOW"	"LUAD_MALE_SHALLOW_DEEP"	"LUAD_FEMALE_NORMAL_DEEP"	"LUAD_FEMALE_NORMAL_SHALLOW"	"LUAD_FEMALE_SHALLOW_DEEP"
"ENSG00000006128.12_TAC1"	0	-3.32587288551319	0	3.04812919895288	0	-3.57127965006376	0	0	0	0
"ENSG00000006194.10_ZNF263"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006210.7_CX3CL1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006282.21_SPATA20"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006283.18_CACNA1G"	0	0	0	-0.713280767942687	0	0	0	0	0	0
"ENSG00000006327.14_TNFRSF12A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006377.11_DLX6"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006432.15_MAP3K9"	0	-0.273708509290095	0	0	0	0	0	0	0	0
"ENSG00000006451.8_RALA"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006453.14_BAIAP2L1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006459.11_KDM7A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006468.14_ETV1"	0	0.41657659589683	0	0	0	0	0	0	0.466459350011371	0
"ENSG00000006530.18_AGK"	0	-0.171703297290313	0	0	0	0	0	0	-0.181955486018043	0
"ENSG00000006534.16_ALDH3B1"	0	0.574422257525865	0	0	0	0.765349947253751	0	0	0	0
"ENSG00000006555.11_TTC22"	0	0.318125753641183	0	0	0	0	0	0	0	0
"ENSG00000006576.16_PHTF2"	0	-0.385491757738983	0	0	0	-0.409112148687475	0	0	-0.366149483275289	0
"ENSG00000006606.9_CCL26"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006607.14_FARP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006611.17_USH1C"	-5.29810559931314	1.73661261566114	3.561492983652	0	5.38889120738893	1.80845649742328	0	5.46102291846069	1.58412183675256	0
"ENSG00000006625.18_GGCT"	0	-0.273753858212516	0	0	0	0	0	0	-0.376726472534056	0
"ENSG00000006634.8_DBF4"	0	-0.407661350921299	0	0	0	-0.448993918725677	0	0	-0.376233472802868	0
"ENSG00000006638.13_TBXA2R"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006652.15_IFRD1"	0	-0.325251670698363	0	0	0	0	0	0	-0.400869061990086	0
"ENSG00000006659.13_LGALS14"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006695.12_COX10"	0	0	0	0.155601798953174	0	0	0	0	0	0
"ENSG00000006704.11_GTF2IRD1"	0	-0.197647807577931	0	0	0	0	0	0	-0.349879978210851	0
"ENSG00000006712.15_PAF1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006715.16_VPS41"	0	-0.151314121154683	0	0	0	0	0	0	0	0
"ENSG00000006740.17_ARHGAP44"	0	0.478493699555382	0	0	0	0	0	0	0	0
"ENSG00000006744.19_ELAC2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006747.15_SCIN"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006756.16_ARSD"	0	0	0	-0.672879558979193	0	0.440732250347527	0	0	0	0
"ENSG00000006757.12_PNPLA4"	0	0	0	-0.438620366945259	0	0	0	0	0	0
"ENSG00000006788.14_MYH13"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006831.10_ADIPOR2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000006837.12_CDKL3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007001.13_UPP2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007038.11_PRSS21"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007047.15_MARK4"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007062.12_PROM1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007080.11_CCDC124"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007129.18_CEACAM21"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007168.14_PAFAH1B1"	0	0.124023055781685	0	0	0	0	0	0	0	0
"ENSG00000007171.18_NOS2"	0	-0.809934824558894	0	0	0	-0.918988144465424	0	0	-0.719091711471578	0
"ENSG00000007174.18_DNAH9"	0	1.07726637164529	0	0	0	2.02724099765875	0	0	0	0
"ENSG00000007202.15_KIAA0100"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007216.15_SLC13A2"	0	0	0	0	0	0	0	0	1.33956764549486	0
"ENSG00000007237.19_GAS7"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007255.10_TRAPPC6A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007264.15_MATK"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007306.15_CEACAM7"	0	-2.0046539698431	3.80623756219435	0	0	-3.12793075802173	0	0	-1.34326023593846	0
"ENSG00000007312.13_CD79B"	0	0	0	-0.477786550817578	0	0	0	0	0	0
"ENSG00000007314.12_SCN4A"	0	-0.768660393241424	0	0	0	0	0	0	-1.13054305256406	0
"ENSG00000007341.19_ST7L"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007350.17_TKTL1"	0	0	0	1.27169568828147	0	0	0	0	2.71884427788656	0
"ENSG00000007372.24_PAX6"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007376.8_RPUSD1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007384.15_RHBDF1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007392.17_LUC7L"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007402.12_CACNA2D2"	0	0.779874034461875	0	0	0	0	0	0	0.857783091822788	0
"ENSG00000007516.14_BAIAP3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007520.4_TSR3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007541.17_PIGQ"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007545.16_CRAMP1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007866.22_TEAD3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007908.16_SELE"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007923.16_DNAJC11"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007933.13_FMO3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007944.15_MYLIP"	0	0	0	0	0	0	0	0	0	0
"ENSG00000007952.18_NOX1"	0	0.416333058825523	0	-0.658644299002203	0	0	0	0	0.768482006958645	0
"ENSG00000007968.7_E2F2"	0	-0.405536528085962	0	0	0	0	0	0	-0.488314665230384	0
"ENSG00000008018.9_PSMB1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008056.14_SYN1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008083.14_JARID2"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008086.13_CDKL5"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008118.10_CAMK1G"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008128.23_CDK11A"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008130.15_NADK"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008196.13_TFAP2B"	0	0	0	0	0	-3.13877937814268	0	0	3.04894257714974	0
"ENSG00000008197.5_TFAP2D"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008226.20_DLEC1"	0	0.996212930852593	0	0	0	1.44303148966242	0	0	0	0
"ENSG00000008256.16_CYTH3"	0	-0.417028828661015	0	-0.572836894558291	0	-0.378623283707608	0	0	0	0
"ENSG00000008277.14_ADAM22"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008282.9_SYPL1"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008283.16_CYB561"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008294.21_SPAG9"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008300.17_CELSR3"	0	0	0	0	0	0	0	0	0	0
"ENSG00000008311.15_AASS"	0	0.417478297469142	0	0	0	0	0	0	0.62496910804174	0
"ENSG00000008323.15_PLEKHG6"	0	0	0	0	0	0	0	0	0	0
